Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,Ligue,Saison,Home_form,Away_form,Home_avg_scored,Home_avg_conceded,Away_avg_scored,Away_avg_conceded,Form_diff,Avg_scored_diff,Avg_conceded_diff
2020-10-04,Arsenal,Sheffield United,2,1,H,0,0,D,6,6,5,2,2,4,0,1,0,0,PL,22_21,6,0,2.0,1.33,0.0,1.33,6,2.0,0.0
2020-10-04,Osasuna,Celta,2,0,H,1,0,H,14,9,5,3,6,5,3,3,0,0,LL,20_21,3,5,1.0,1.33,0.75,1.25,-2,0.25,0.08000000000000007
2020-10-17,Celta,Ath Madrid,0,2,A,0,1,A,15,9,5,4,8,4,3,4,0,0,LL,20_21,5,5,0.6,1.4,2.0,0.33,0,-1.4,1.0699999999999998
2020-10-17,Real Madrid,Cadiz,0,1,A,0,1,A,14,14,2,5,4,11,2,0,0,0,LL,20_21,10,7,1.5,0.5,1.0,1.2,3,0.5,-0.7
2020-10-17,Getafe,Barcelona,1,0,H,0,0,D,9,7,4,1,7,2,4,3,0,0,LL,20_21,7,7,1.0,0.75,2.67,0.33,0,-1.67,0.42
2020-10-17,Granada,Sevilla,1,0,H,0,0,D,13,8,3,3,5,1,4,4,0,1,LL,20_21,7,7,1.5,2.0,1.67,0.67,0,-0.16999999999999993,1.33
2020-10-17,Napoli,Atalanta,4,1,H,4,0,H,18,11,14,3,6,2,1,3,0,0,SA,20_21,6,9,4.0,0.0,4.33,1.67,-3,-0.33000000000000007,-1.67
2020-10-17,Inter,Milan,1,2,A,1,2,A,12,8,6,4,3,5,3,4,0,0,SA,20_21,7,9,3.33,2.0,2.33,0.0,-2,1.0,2.0
2020-10-17,Sampdoria,Lazio,3,0,H,2,0,H,11,8,8,1,3,3,2,2,0,0,SA,20_21,3,4,1.33,2.33,1.33,1.67,-1,0.0,0.6600000000000001
2020-10-17,Crotone,Juventus,1,1,D,1,1,D,9,8,3,3,3,4,3,3,0,1,SA,20_21,0,4,0.67,3.33,2.5,1.0,-4,-1.83,2.33
2020-10-17,Everton,Liverpool,2,2,D,1,1,D,11,22,5,8,2,5,3,2,1,0,PL,22_21,12,9,3.0,1.25,2.75,2.75,3,0.25,-1.5
2020-10-17,Chelsea,Southampton,3,3,D,2,1,H,11,13,5,6,6,2,1,1,0,0,PL,22_21,7,6,2.5,1.5,1.25,1.5,1,1.25,0.0
2020-10-17,Man City,Arsenal,1,0,H,1,0,H,13,11,5,3,6,6,4,1,0,0,PL,22_21,4,9,2.0,2.33,2.0,1.25,-5,0.0,1.08
2020-10-17,Newcastle,Man United,1,4,A,1,1,D,7,28,4,14,0,7,1,1,0,0,PL,22_21,7,3,1.5,1.25,1.67,3.67,4,-0.16999999999999993,-2.42
2020-10-18,Bologna,Sassuolo,3,4,A,2,1,H,11,20,7,12,7,11,2,2,0,0,SA,20_21,3,7,1.33,1.33,3.0,1.0,-4,-1.67,0.33000000000000007
2020-10-18,Spezia,Fiorentina,2,2,D,1,2,A,6,7,2,6,5,5,2,2,0,0,SA,20_21,3,3,1.0,2.33,1.67,2.0,0,-0.6699999999999999,0.33000000000000007
2020-10-18,Torino,Cagliari,2,3,A,1,2,A,10,9,6,7,2,4,2,3,1,0,SA,20_21,0,1,1.0,2.5,1.0,2.67,-1,0.0,-0.16999999999999993
2020-10-18,Udinese,Parma,3,2,H,1,1,D,9,7,4,3,11,2,3,2,0,0,SA,20_21,0,3,0.0,1.33,0.67,2.0,-3,-0.67,-0.6699999999999999
2020-10-18,Roma,Benevento,5,2,H,2,1,H,16,8,10,4,6,4,3,2,0,0,SA,20_21,5,6,1.0,0.67,2.0,2.33,-1,-1.0,-1.6600000000000001
2020-10-18,Eibar,Osasuna,0,0,D,0,0,D,10,8,6,2,6,7,2,3,0,1,LL,20_21,4,6,0.8,1.2,1.25,1.0,-2,-0.44999999999999996,0.19999999999999996
2020-10-18,Ath Bilbao,Levante,2,0,H,0,0,D,14,6,5,1,9,3,3,1,0,0,LL,20_21,3,3,0.5,1.25,1.25,2.0,0,-0.75,-0.75
2020-10-18,Villarreal,Valencia,2,1,H,1,1,D,16,11,6,3,3,7,4,1,1,0,LL,20_21,8,7,1.2,1.4,1.4,1.4,1,-0.19999999999999996,0.0
2020-10-18,Alaves,Elche,0,2,A,0,1,A,13,7,2,3,2,6,2,5,0,0,LL,20_21,4,4,0.6,1.2,0.33,1.0,0,0.26999999999999996,0.19999999999999996
2020-10-18,Huesca,Valladolid,2,2,D,0,1,A,12,5,7,3,3,1,1,2,0,0,LL,20_21,4,2,0.4,0.8,0.6,1.4,2,-0.19999999999999996,-0.5999999999999999
2020-10-18,Betis,Sociedad,0,3,A,0,1,A,7,8,1,5,6,2,2,1,0,0,LL,20_21,9,8,1.4,1.2,1.4,0.4,1,0.0,0.7999999999999999
2020-10-18,Leicester,Aston Villa,0,1,A,0,0,D,11,10,5,4,2,7,4,3,0,0,PL,22_21,9,9,3.0,1.75,3.67,0.67,0,-0.6699999999999999,1.08
2020-10-18,Tottenham,West Ham,3,3,D,3,0,H,11,13,6,4,3,7,0,5,0,0,PL,22_21,7,6,3.0,1.25,2.0,1.0,1,1.0,0.25
2020-10-18,Crystal Palace,Brighton,1,1,D,1,0,H,1,20,1,3,2,5,3,2,0,1,PL,22_21,6,3,1.25,1.75,2.0,2.5,3,-0.75,-0.75
2020-10-18,Sheffield United,Fulham,1,1,D,0,0,D,10,15,6,6,2,5,0,2,0,0,PL,22_21,0,0,0.25,1.5,0.75,2.75,0,-0.5,-1.25
2020-10-19,Verona,Genoa,0,0,D,0,0,D,18,5,12,2,14,2,1,4,0,0,SA,20_21,4,3,0.33,0.33,2.0,3.5,1,-1.67,-3.17
2020-10-19,Leeds,Wolves,0,1,A,0,0,D,13,7,2,3,8,3,2,1,0,0,PL,22_21,7,6,2.25,2.0,1.0,1.75,1,1.25,0.25
2020-10-19,West Brom,Burnley,0,0,D,0,0,D,13,9,6,4,8,2,2,2,0,0,PL,22_21,1,0,1.25,3.25,1.0,2.67,1,0.25,0.5800000000000001
2020-10-23,Sassuolo,Torino,3,3,D,0,1,A,13,14,9,12,6,8,2,2,0,0,SA,20_21,10,0,3.25,1.5,1.33,2.67,10,1.92,-1.17
2020-10-23,Elche,Valencia,2,1,H,2,0,H,3,14,2,4,0,7,3,2,0,0,LL,20_21,7,4,0.75,0.75,0.8,1.4,3,-0.050000000000000044,-0.6499999999999999
2020-10-23,Aston Villa,Leeds,0,3,A,0,0,D,12,27,4,9,6,5,2,2,0,0,PL,22_21,12,7,3.0,0.5,1.8,1.8,5,1.2,-1.3
2020-10-24,Ath Madrid,Betis,2,0,H,0,0,D,13,12,6,3,8,5,2,0,0,1,LL,20_21,8,6,2.0,0.25,1.2,1.8,2,0.8,-1.55
2020-10-24,Lazio,Bologna,2,1,H,0,0,D,6,16,4,6,8,9,3,3,0,0,SA,20_21,4,3,1.0,2.0,1.75,2.0,1,-0.75,0.0
2020-10-24,Genoa,Inter,0,2,A,0,0,D,1,10,0,6,1,9,1,1,0,0,SA,20_21,4,7,1.33,2.33,2.75,2.0,-3,-1.42,0.33000000000000007
